lr: 0.1
batch size: 5
embedding dim: 300
hidden dim: 256
sentence len: 200
[Epoch:   0/ 50] Training Loss: 0.579, Testing Loss: 0.580, Training Acc: 0.180, Testing Acc: 0.184 
[Epoch:   1/ 50] Training Loss: 0.460, Testing Loss: 0.417, Training Acc: 0.331, Testing Acc: 0.387 
[Epoch:   2/ 50] Training Loss: 0.253, Testing Loss: 0.294, Training Acc: 0.611, Testing Acc: 0.567 
[Epoch:   3/ 50] Training Loss: 0.153, Testing Loss: 0.230, Training Acc: 0.761, Testing Acc: 0.653 
[Epoch:   4/ 50] Training Loss: 0.096, Testing Loss: 0.219, Training Acc: 0.848, Testing Acc: 0.686 
[Epoch:   5/ 50] Training Loss: 0.052, Testing Loss: 0.217, Training Acc: 0.923, Testing Acc: 0.705 
[Epoch:   6/ 50] Training Loss: 0.028, Testing Loss: 0.216, Training Acc: 0.960, Testing Acc: 0.721 
[Epoch:   7/ 50] Training Loss: 0.017, Testing Loss: 0.218, Training Acc: 0.980, Testing Acc: 0.731 
[Epoch:   8/ 50] Training Loss: 0.009, Testing Loss: 0.216, Training Acc: 0.990, Testing Acc: 0.740 
[Epoch:   9/ 50] Training Loss: 0.006, Testing Loss: 0.221, Training Acc: 0.994, Testing Acc: 0.743 
[Epoch:  10/ 50] Training Loss: 0.003, Testing Loss: 0.217, Training Acc: 0.997, Testing Acc: 0.747 
[Epoch:  11/ 50] Training Loss: 0.003, Testing Loss: 0.217, Training Acc: 0.997, Testing Acc: 0.749 
[Epoch:  12/ 50] Training Loss: 0.003, Testing Loss: 0.218, Training Acc: 0.997, Testing Acc: 0.749 
[Epoch:  13/ 50] Training Loss: 0.002, Testing Loss: 0.218, Training Acc: 0.997, Testing Acc: 0.750 
[Epoch:  14/ 50] Training Loss: 0.002, Testing Loss: 0.219, Training Acc: 0.997, Testing Acc: 0.751 
[Epoch:  15/ 50] Training Loss: 0.002, Testing Loss: 0.219, Training Acc: 0.997, Testing Acc: 0.751 
[Epoch:  16/ 50] Training Loss: 0.002, Testing Loss: 0.220, Training Acc: 0.997, Testing Acc: 0.752 
[Epoch:  17/ 50] Training Loss: 0.002, Testing Loss: 0.220, Training Acc: 0.997, Testing Acc: 0.752 
[Epoch:  18/ 50] Training Loss: 0.002, Testing Loss: 0.220, Training Acc: 0.997, Testing Acc: 0.752 
[Epoch:  19/ 50] Training Loss: 0.002, Testing Loss: 0.220, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  20/ 50] Training Loss: 0.002, Testing Loss: 0.220, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  21/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  22/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  23/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  24/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  25/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  26/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  27/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  28/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  29/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  30/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  31/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  32/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  33/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  34/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  35/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  36/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  37/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  38/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  39/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  40/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  41/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  42/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  43/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  44/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
[Epoch:  45/ 50] Training Loss: 0.002, Testing Loss: 0.221, Training Acc: 0.997, Testing Acc: 0.753 
